descripcion,categoria
compra semanal en plaza vea,Alimentacion
boleta de wong por comida del mes,Alimentacion
pedido familiar de comida en rappi,Alimentacion
almuerzo en la cevicheria,Alimentacion
compras del mes en el supermercado,Alimentacion
cena para cuatro en polleria,Alimentacion
verduras y frutas para la semana,Alimentacion
carne para el almuerzo familiar,Alimentacion
pedido de menu por pedidos ya,Alimentacion
canasta de alimentos para la casa,Alimentacion
transferi dinero a tyba para invertir,Aporte Inversiones
aporte mensual en fintual,Aporte Inversiones
deposito para comprar acciones en el broker,Aporte Inversiones
ahorro automatico para mi jubilacion,Aporte Inversiones
compra periodica de etf del mercado,Aporte Inversiones
envio a cuenta de bolsa de valores,Aporte Inversiones
separacion mensual para fondo de emergencia,Aporte Inversiones
aporte extra a mi fondo privado de pension,Aporte Inversiones
inversion programada de largo plazo,Aporte Inversiones
transferencia de capital a la casa de bolsa,Aporte Inversiones
pago de mensualidad en universidad,Educacion
matricula del nuevo ciclo academico,Educacion
compra de textos para el colegio,Educacion
inscripcion al curso de python,Educacion
pension del jardin de mi hija,Educacion
pago al profesor de matematicas,Educacion
derecho para rendir examen de ingles,Educacion
cuota mensual de academia pre,Educacion
certificado del diplomado virtual,Educacion
materiales para clases escolares,Educacion
cafecito barato antes de entrar a la oficina,Gastos Hormiga
chicle comprado por impulso en la caja,Gastos Hormiga
snack pequeño de la maquina del trabajo,Gastos Hormiga
antojo rapido en el kiosco,Gastos Hormiga
botella de agua comprada al paso,Gastos Hormiga
monedas para dulces despues del almuerzo,Gastos Hormiga
microcompra de gemas en el celular,Gastos Hormiga
propina de dos soles en la app,Gastos Hormiga
galletas individuales sin planificar,Gastos Hormiga
gasto diario pequeño en cafe,Gastos Hormiga
abono de la empresa por planilla,Ingresos
cliente deposito el pago de la factura,Ingresos
recibi honorarios por asesoria,Ingresos
transferencia a mi favor por una venta,Ingresos
deposito de gratificacion laboral,Ingresos
pago recibido por trabajo independiente,Ingresos
abono quincenal de salario,Ingresos
retorno de dinero por reembolso,Ingresos
ingreso mensual por alquiler de local,Ingresos
intereses abonados por el banco,Ingresos
renovacion mensual de netflix,Suscripciones
entradas para concierto del sabado,Ocio
compra de juego para playstation,Ocio
salida con amigos al karaoke,Ocio
boletos para el partido de futbol,Ocio
fin de semana en parque de diversiones,Ocio
mensualidad de spotify premium,Suscripciones
tour turistico durante vacaciones,Ocio
noche de teatro con mi pareja,Ocio
recarga de saldo en steam,Ocio
cuota mensual de hbo max,Suscripciones
renovacion anual de disney plus,Suscripciones
suscripcion familiar de youtube premium,Suscripciones
pago recurrente de apple music,Suscripciones
membresia mensual de crunchyroll,Suscripciones
plan de amazon prime video,Suscripciones
renovacion de playstation plus,Suscripciones
cargo automatico de una aplicacion premium,Suscripciones
retiro de efectivo sin mayor detalle,Otros
compra de una casaca nueva,Otros
pago de la tarjeta de credito,Otros
transferencia personal sin concepto,Otros
compra de audifonos bluetooth,Otros
impuesto municipal anual,Otros
regalo de cumpleaños para un amigo,Otros
cuota mensual de prestamo personal,Otros
corte de cabello en peluqueria,Otros
cargo bancario por mantenimiento,Otros
consulta con medico general,Salud
compra de antibiotico recetado,Salud
atencion de emergencia en clinica,Salud
sesion semanal con psicologa,Salud
analisis completo en laboratorio,Salud
pago mensual del seguro de salud,Salud
tratamiento de caries con dentista,Salud
sesion para rehabilitar la rodilla,Salud
vacuna contra la influenza,Salud
lentes nuevos de la optica,Salud
recibo mensual de energia electrica,Servicios
factura de fibra optica del hogar,Servicios
pago del plan postpago claro,Servicios
servicio de agua potable sedapal,Servicios
recarga de datos para el celular,Servicios
renovacion anual del dominio web,Servicios
mensualidad de almacenamiento cloud,Servicios
factura de gas natural calidda,Servicios
servicio de cable e internet,Servicios
pago de alarma monitoreada,Servicios
viaje en taxi desde la oficina,Transporte
recarga de tarjeta del metropolitano,Transporte
llenado de gasolina en primax,Transporte
pasaje de bus interprovincial,Transporte
pago de estacionamiento por hora,Transporte
servicio mecanico para el auto,Transporte
boleto aereo para lima cusco,Transporte
carrera de cabify al aeropuerto,Transporte
peaje de la carretera central,Transporte
cambio de aceite de la moto,Transporte
renta mensual del departamento,Vivienda
cuota del credito hipotecario,Vivienda
pago de mantenimiento del edificio,Vivienda
arreglo de fuga en el baño,Vivienda
compra de colchon para dormitorio,Vivienda
servicio de mudanza al nuevo hogar,Vivienda
reparacion de la lavadora de casa,Vivienda
pintura para renovar la sala,Vivienda
deposito de garantia para alquiler,Vivienda
fumigacion completa del domicilio,Vivienda
